ElectoralDistrictName,NDP,BQ,Conservative,Liberal,Green,PPC
Waterloo,19,0,27.7,45.1,3.4,4.7
Wellington--Halton Hills,10.4,0,52.1,27.2,3.9,6.4
Whitby,14.1,0,35.9,44.1,1.6,4.3
Willowdale,10.3,0,33.9,51.2,2,2.7
Windsor West/Windsor-Ouest,44.2,0,19.3,27.8,0,8.3
Windsor--Tecumseh,30.7,0,25.6,31.8,1.2,10.4
York Centre/York-Centre,10.2,0,37.8,47.3,0,4.7
York South--Weston/York-Sud--Weston,16.9,0,20.2,56.1,2.3,4.5
York--Simcoe,13.6,0,50,29,0,7.3
Brandon--Souris,20.5,0,59.6,12.1,0,7.8
Charleswood--St. James--Assiniboia--Headingley,15.4,0,40,39,2.1,3.5
Churchill--Keewatinook Aski,42.6,0,24.2,25.2,3.1,5
Dauphin--Swan River--Neepawa,14.7,0,59,12.7,2.2,10.5
Elmwood--Transcona,49.7,0,28.1,14.7,1.6,5.8
Kildonan--St. Paul,23.5,0,41.8,29.4,0,5.3
Portage--Lisgar,13.4,0,52.5,11,0,21.6
Provencher,12.6,0,48.7,17,2.6,16.5
Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital,21.5,0,28,43.8,1.5,4.4
Selkirk--Interlake--Eastman,19.4,0,57.1,13.2,2.7,7.7
Winnipeg Centre/Winnipeg-Centre,50.3,0,12.8,28.4,2.4,4.1
Winnipeg North/Winnipeg-Nord,28.6,0,13.1,52.3,1.3,4.2
Winnipeg South/Winnipeg-Sud,14,0,33.8,47.5,1.4,3.3
Winnipeg South Centre/Winnipeg-Centre-Sud,20.6,0,27.8,45.5,2.7,2.8
Battlefords--Lloydminster,12,0,68.7,5.6,0.8,5.9
Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek,13.6,0,68.6,5,0.9,9.2
Cypress Hills--Grasslands,10.5,0,71.5,4.4,0.8,8.2
Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill,17.2,0,48.8,26.9,1,4.9
Moose Jaw--Lake Centre--Lanigan,19.4,0,60.4,6.1,1.1,11.4
Prince Albert,15.1,0,64.9,10.6,1.1,6.9
Regina--Lewvan,34.5,0,46.8,13.8,1.2,3.6
Regina--Qu'Appelle,20.9,0,61.9,10.1,2,5.1
Regina--Wascana,18.1,0,49.9,26.9,1.6,3.5
Saskatoon West/Saskatoon-Ouest,39.3,0,45.4,8.2,1.1,6.1
Saskatoon--Grasswood,30.1,0,49.9,14.2,1.2,4.6
Saskatoon--University,35.4,0,48,10.8,1,4.2
Souris--Moose Mountain,7.9,0,76.4,4.2,0,9.1
Yorkton--Melville,12.2,0,68.7,6.3,1.8,9.3
Banff--Airdrie,16.2,0,56.7,12.4,1.8,7.5
Battle River--Crowfoot,9.8,0,71.3,4.3,0.9,9.3
Bow River,9.2,0,69.8,7.6,0,10
Calgary Centre/Calgary-Centre,16.4,0,51.3,29.7,1.6,0
Calgary Confederation,17.1,0,46,28.5,3.7,4.3
Calgary Forest Lawn,18.1,0,44.5,27.7,2,7.1
Calgary Heritage,17.4,0,57.7,16.7,1.4,5
Calgary Midnapore,18.3,0,60.7,12.3,1.3,6.1
Calgary Nose Hill,16.9,0,55.6,20.5,1.3,4.6
Calgary Rocky Ridge,16.3,0,54.5,22.2,1.6,4.5
Calgary Shepard,16.5,0,60.4,14,1.8,5.8
Calgary Signal Hill,14.8,0,59,18.6,1.8,4.8
Calgary Skyview,16.2,0,36.1,42.4,0.9,3.6
Edmonton Centre/Edmonton-Centre,28.8,0,32.4,33.7,0,4.3
Edmonton Griesbach,40.5,0,37.1,13.9,1.2,6.1
Edmonton Manning,30.5,0,41.1,21.3,0,6.9
Edmonton Mill Woods,21.8,0,37.9,34,0,6
Edmonton Riverbend,24.9,0,45.1,24.9,1.3,3.8
Edmonton Strathcona,60.7,0,25.5,7.6,1.2,4.5
Edmonton West/Edmonton-Ouest,25.3,0,45.1,23.2,0,6
Edmonton--Wetaskiwin,21,0,55.7,14.1,0,8.8
Foothills,11.1,0,69.2,6.9,1.2,8
Fort McMurray--Cold Lake,10.1,0,67.8,7.1,1,12.7
Grande Prairie--Mackenzie,12.2,0,68.4,4.5,0,10.2
Lakeland,10.5,0,69.4,5,0.9,11.1
Lethbridge,19.3,0,55.6,15.1,0,6.9
Medicine Hat--Cardston--Warner,14.1,0,65.4,7.3,1.5,9.3
Peace River--Westlock,12.9,0,63,5.2,0.8,12.6
Red Deer--Lacombe,14.2,0,64.2,6,0,12.7
Red Deer--Mountain View,13.9,0,64.2,6.4,0,12
St. Albert--Edmonton,28.6,0,47.6,17.9,0,5.9
Sherwood Park--Fort Saskatchewan,20.6,0,57.6,12.2,1,7
Sturgeon River--Parkland,18.9,0,61.6,6.9,0,10
Yellowhead,11.8,0,66.2,5.6,0,12.7
Abbotsford,17.2,0,47.9,24.2,3.4,7.3
Burnaby North--Seymour/Burnaby-Nord--Seymour,29.1,0,25.5,39.5,3.1,2.8
Burnaby South/Burnaby-Sud,40.3,0,22.4,30.4,2.9,3.2
Cariboo--Prince George,20.4,0,50.8,16.6,3.6,8.2
Central Okanagan--Similkameen--Nicola,21.5,0,47.6,20.7,2.7,7.5
Chilliwack--Hope,26.7,0,46,17,2.7,7.7
Cloverdale--Langley City,19.9,0,36.1,39.2,0,4.8
Coquitlam--Port Coquitlam,26.9,0,30.3,38.5,0,4.3
Courtenay--Alberni,44.2,0,32,13.4,5.2,5
Cowichan--Malahat--Langford,42.8,0,28.4,16.4,6.2,6.3
Delta,18.3,0,33.8,42.3,2.4,2.5
Esquimalt--Saanich--Sooke,42.8,0,21.2,22.1,9,4.6
Fleetwood--Port Kells,19,0,30.8,45.2,1.9,2.7
Kamloops--Thompson--Cariboo,29,0,43,18.1,3.7,5.7
Kelowna--Lake Country,18.2,0,45.3,26.5,3.1,7
Kootenay--Columbia,36.9,0,43.2,9,4,6.9
Langley--Aldergrove,19.6,0,45.7,26.4,2.9,5.3
Mission--Matsqui--Fraser Canyon,20.2,0,43.8,24.5,4.4,7.1
Nanaimo--Ladysmith,28.8,0,27.1,13.5,25.7,4.9
New Westminster--Burnaby,48.8,0,19.7,23.7,4.1,3.7
North Island--Powell River,39.5,0,36,13.1,6.1,4.6
North Okanagan--Shuswap,19.2,0,46.4,18.9,5.5,10
North Vancouver,19.8,0,28.1,45.1,4.4,2.6
Pitt Meadows--Maple Ridge,31.9,0,36.7,24.9,0,5.3
Port Moody--Coquitlam,37.2,0,31.9,27.3,0,3.4
Prince George--Peace River--Northern Rockies,13.5,0,60.7,8.6,3.4,10.4
Richmond Centre/Richmond-Centre,18.1,0,37.1,39.3,3.2,2.2
Saanich--Gulf Islands,18.3,0,22.5,18.4,37.6,3
Skeena--Bulkley Valley,42.6,0,36.1,7.7,3.8,7.7
South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest,41.3,0,35.5,12.2,3.7,7.3
South Surrey--White Rock/Surrey-Sud--White Rock,14.8,0,42.5,39,0,3.8
Steveston--Richmond East/Steveston--Richmond-Est,19.3,0,33.5,42.5,2.2,2.5
Surrey Centre/Surrey-Centre,27.7,0,21.1,43.9,2.2,4
Surrey--Newton,26,0,15.7,53.9,0,2.6
Vancouver Centre/Vancouver-Centre,30.7,0,21.6,40.4,3.9,3.3
Vancouver East/Vancouver-Est,56.4,0,10.9,19.8,7.7,2.8
Vancouver Granville,33.5,0,26.8,34.4,2.9,2.4
Vancouver Kingsway,52.3,0,13.6,27.4,3.9,2.2
Vancouver Quadra,19.3,0,28.9,43.6,6.1,2
Vancouver South/Vancouver-Sud,24.6,0,22.5,49.4,0,2.7
Victoria,43.9,0,13.7,27.3,11.2,3.1
West Vancouver--Sunshine Coast--Sea to Sky Country,25.6,0,30,33.9,6.5,3.6
Yukon,22.4,0,26.3,33.3,4.4,0
Northwest Territories/Territoires du Nord-Ouest,32.3,0,14.4,38.2,2.3,0
Nunavut,47.7,0,16.5,35.9,0,0
